Code,Lon,Lat,Ve,sVe,Vn,sVn,Vu,sVu,ClusterLabelK11,Ve_wrt_S01R,Vn_wrt_S01R
CHUA,120.5573,24.06605,29.9 ,0.3 ,-10.8 ,0.4 ,-5.7 ,2.6 ,7,-1.6 ,1.1 
CHUK,120.60472,23.43871,14.6 ,1.1 ,-7.3 ,1.0 ,6.3 ,6.7 ,8,-16.9 ,4.6 
CHUL,121.12568,23.13236,-0.9 ,0.7 ,2.6 ,0.4 ,3.4 ,2.5 ,10,-32.4 ,14.5 
CHUN,121.3931,23.45285,-13.7 ,0.5 ,28.0 ,0.4 ,-5.5 ,1.7 ,4,-45.2 ,39.9 
CHYN,120.2908,23.39327,26.8 ,0.4 ,-10.9 ,0.2 ,-5.8 ,1.8 ,7,-4.7 ,1.0 
CLAN,121.512,24.60225,34.9 ,0.3 ,-6.2 ,0.3 ,3.4 ,2.0 ,7,3.4 ,5.7 
CLON,120.5796,22.43005,-24.5 ,0.3 ,-12.2 ,0.3 ,-15.8 ,3.2 ,6,-56.0 ,-0.3 
CTOU,120.27784,22.75468,-7.6 ,0.4 ,-24.4 ,0.4 ,-3.1 ,2.0 ,3,-39.1 ,-12.5 
CWEN,120.45276,23.47304,21.6 ,0.3 ,-7.3 ,0.3 ,-1.3 ,1.3 ,7,-9.9 ,4.6 
DAHU,120.87183,24.42288,26.7 ,0.4 ,-9.3 ,0.5 ,-2.3 ,1.5 ,7,-4.8 ,2.6 
DAJN,120.86497,22.3113,-11.2 ,0.4 ,2.1 ,0.3 ,1.0 ,1.7 ,10,-42.7 ,14.0 
DANL,120.75191,22.20413,-15.9 ,1.1 ,-4.3 ,1.1 ,0.4 ,5.9 ,10,-47.4 ,7.6 
DASI,120.94441,22.47842,-4.6 ,3.4 ,-0.2 ,2.0 ,18.7 ,10.2 ,10,-36.1 ,11.7 
DCHU,121.28057,23.21318,-13.0 ,0.4 ,27.3 ,0.3 ,3.9 ,2.1 ,4,-44.5 ,39.2 
DNFU,121.48228,23.68512,-5.5 ,0.9 ,15.3 ,0.7 ,-6.9 ,2.8 ,10,-37.0 ,27.2 
DONA,120.70351,22.91562,-23.1 ,0.4 ,-10.4 ,0.3 ,7.4 ,1.7 ,6,-54.6 ,1.5 
DPIN,120.9328,24.04308,11.6 ,0.3 ,-1.4 ,0.2 ,2.0 ,1.7 ,8,-19.9 ,10.5 
DSIN,121.39803,23.63121,2.2 ,0.7 ,8.8 ,0.4 ,-7.6 ,3.0 ,10,-29.3 ,20.7 
DULI,121.33059,23.02566,-16.7 ,1.1 ,32.0 ,0.7 ,8.6 ,4.0 ,4,-48.2 ,43.9 
ERLN,120.41955,23.79759,31.4 ,0.8 ,-10.4 ,0.4 ,-11.3 ,3.3 ,7,-0.1 ,1.5 
ERPN,121.16611,22.94217,-21.9 ,0.3 ,27.5 ,0.3 ,5.7 ,2.0 ,4,-53.4 ,39.4 
FENP,121.51942,23.59845,-16.1 ,0.7 ,32.9 ,0.5 ,-4.3 ,2.9 ,4,-47.6 ,44.8 
FIVE,121.78107,25.07105,35.5 ,0.3 ,-10.9 ,0.4 ,-1.2 ,1.2 ,7,4.0 ,1.0 
FKDO,120.85627,23.68355,6.7 ,2.5 ,1.7 ,1.3 ,-8.0 ,12.0 ,8,-24.8 ,13.6 
FLON,121.93748,25.02037,35.7 ,0.4 ,-13.1 ,0.7 ,-2.9 ,2.0 ,7,4.2 ,-1.2 
FNGU,120.72445,24.03516,21.6 ,0.3 ,-6.9 ,0.2 ,-2.0 ,1.2 ,7,-9.9 ,5.0 
FUNY,120.32017,23.92231,32.5 ,0.3 ,-10.9 ,0.2 ,-12.7 ,2.9 ,7,1.0 ,1.0 
FUQE,120.82331,24.01115,18.2 ,0.5 ,-2.9 ,0.3 ,-0.8 ,2.1 ,8,-13.3 ,9.0 
FUSN,121.33146,24.79904,31.6 ,0.4 ,-5.8 ,0.4 ,0.8 ,2.1 ,7,0.1 ,6.1 
GAIS,120.59062,23.08029,-9.1 ,0.4 ,-8.2 ,0.3 ,9.0 ,1.8 ,10,-40.6 ,3.7 
GS01,121.50816,24.982,34.3 ,0.4 ,-7.4 ,0.4 ,1.2 ,1.7 ,7,2.8 ,4.5 
GS02,120.98234,24.80972,29.3 ,0.4 ,-10.0 ,0.3 ,-3.4 ,1.5 ,7,-2.2 ,1.9 
GS03,121.04407,24.7766,30.0 ,0.6 ,-7.9 ,0.6 ,-1.1 ,1.4 ,7,-1.5 ,4.0 
GS04,120.50679,23.59152,25.6 ,1.0 ,-8.9 ,0.8 ,-0.8 ,5.2 ,7,-5.9 ,3.0 
GS05,120.5684,23.56711,18.4 ,0.3 ,-7.1 ,0.2 ,0.4 ,1.4 ,7,-13.1 ,4.8 
GS06,120.55422,23.46561,16.3 ,0.3 ,-8.4 ,0.3 ,1.3 ,1.4 ,7,-15.2 ,3.5 
GS07,120.65483,23.48291,12.4 ,0.3 ,-6.5 ,0.3 ,4.1 ,1.6 ,8,-19.1 ,5.4 
GS08,121.50149,25.20373,32.6 ,0.5 ,-9.3 ,0.6 ,-1.2 ,2.0 ,7,1.1 ,2.6 
GS09,121.65193,25.20861,34.7 ,0.3 ,-10.5 ,0.3 ,0.2 ,1.6 ,7,3.2 ,1.4 
GS10,121.46155,25.14615,30.0 ,0.5 ,-10.4 ,0.4 ,-5.3 ,1.9 ,7,-1.5 ,1.5 
GS11,121.49877,25.13357,31.4 ,0.4 ,-9.3 ,0.3 ,-3.2 ,1.8 ,7,-0.1 ,2.6 
GS12,121.38276,25.05303,32.8 ,0.4 ,-8.6 ,0.3 ,1.1 ,1.7 ,7,1.3 ,3.3 
GS13,121.45224,25.02001,33.6 ,0.6 ,-8.8 ,0.4 ,-5.8 ,3.2 ,7,2.1 ,3.1 
GS14,120.95945,24.80322,31.0 ,0.2 ,-9.0 ,0.2 ,-1.4 ,1.2 ,7,-0.5 ,2.9 
GS15,120.9905,24.76665,30.3 ,0.2 ,-8.3 ,0.2 ,-0.2 ,1.2 ,7,-1.2 ,3.6 
GS16,121.04161,24.74787,29.9 ,0.3 ,-7.6 ,0.2 ,0.1 ,1.3 ,7,-1.6 ,4.3 
GS17,120.60584,23.56115,14.6 ,0.3 ,-6.2 ,0.3 ,2.4 ,1.5 ,8,-16.9 ,5.7 
GS18,120.47378,23.48498,21.1 ,0.3 ,-8.7 ,0.3 ,-0.5 ,1.2 ,7,-10.4 ,3.2 
GS19,121.67981,25.07174,35.9 ,0.4 ,-10.6 ,0.5 ,-0.1 ,2.2 ,7,4.4 ,1.3 
GS20,121.94321,24.8419,44.5 ,0.4 ,-19.9 ,0.6 ,-18.8 ,1.7 ,9,13.0 ,-8.0 
GS21,120.51241,24.09648,30.1 ,0.2 ,-11.3 ,0.2 ,-2.6 ,1.3 ,7,-1.4 ,0.6 
GS22,120.6039,24.09133,28.5 ,0.2 ,-10.3 ,0.2 ,-3.1 ,1.3 ,7,-3.0 ,1.6 
GS23,120.64816,24.0937,27.9 ,0.3 ,-9.6 ,0.2 ,-1.6 ,1.8 ,7,-3.6 ,2.3 
GS24,120.52644,24.02564,29.8 ,0.3 ,-11.1 ,0.2 ,-7.6 ,2.1 ,7,-1.7 ,0.8 
GS25,120.64059,23.98667,27.5 ,0.3 ,-9.6 ,0.3 ,-3.4 ,1.9 ,7,-4.0 ,2.3 
GS26,120.5787,23.82489,27.1 ,0.3 ,-9.9 ,0.2 ,-1.4 ,1.6 ,7,-4.4 ,2.0 
GS27,120.64631,23.87021,27.9 ,0.3 ,-9.9 ,0.2 ,-1.7 ,1.8 ,7,-3.6 ,2.0 
GS28,120.21358,23.07986,26.1 ,0.5 ,-11.9 ,0.3 ,-3.3 ,2.9 ,7,-5.4 ,0.0 
GS29,120.31755,23.07537,21.4 ,0.4 ,-12.7 ,0.3 ,3.2 ,1.3 ,7,-10.1 ,-0.8 
GS30,120.22612,23.02032,20.1 ,0.3 ,-11.9 ,0.3 ,0.7 ,1.3 ,7,-11.4 ,0.0 
GS31,120.27588,23.01875,15.7 ,0.5 ,-13.2 ,0.2 ,-2.0 ,1.3 ,7,-15.8 ,-1.3 
GS32,120.33584,23.02714,12.0 ,0.5 ,-15.7 ,0.3 ,1.7 ,1.3 ,8,-19.5 ,-3.8 
GS33,120.18695,22.96369,20.8 ,0.3 ,-12.1 ,0.2 ,-2.5 ,1.2 ,7,-10.7 ,-0.2 
GS34,120.27632,22.93612,8.5 ,0.6 ,-13.1 ,0.2 ,3.6 ,1.3 ,8,-23.0 ,-1.2 
GS35,120.30849,22.93581,8.0 ,0.5 ,-14.2 ,0.2 ,4.6 ,1.6 ,8,-23.5 ,-2.3 
GS36,120.6253,24.362,29.8 ,0.3 ,-10.6 ,0.2 ,-1.8 ,1.2 ,7,-1.7 ,1.3 
GS37,120.7154,24.3286,27.6 ,0.3 ,-9.8 ,0.3 ,-2.4 ,1.3 ,7,-3.9 ,2.1 
GS38,120.6006,24.2798,30.0 ,0.3 ,-11.3 ,0.2 ,-2.7 ,1.3 ,7,-1.5 ,0.6 
GS39,120.5296,24.1844,30.3 ,0.3 ,-11.0 ,0.2 ,-2.4 ,1.2 ,7,-1.2 ,0.9 
GS40,120.5763,24.1812,29.8 ,0.2 ,-10.1 ,0.3 ,-2.4 ,1.1 ,7,-1.7 ,1.8 
GS41,120.4449,23.3776,21.2 ,0.4 ,-8.5 ,0.5 ,-3.8 ,2.1 ,7,-10.3 ,3.4 
GS42,120.452,23.2732,13.3 ,0.4 ,-9.1 ,0.3 ,5.0 ,1.7 ,8,-18.2 ,2.8 
GS43,120.3736,23.2572,23.2 ,0.4 ,-10.0 ,0.3 ,-1.2 ,1.7 ,7,-8.3 ,1.9 
GS44,120.4004,23.2222,16.2 ,0.3 ,-11.1 ,0.3 ,6.3 ,1.7 ,7,-15.3 ,0.8 
GS45,120.728,22.7525,-25.7 ,0.7 ,-9.2 ,0.6 ,9.0 ,4.2 ,6,-57.2 ,2.7 
GS46,120.6395,22.5297,-25.6 ,0.6 ,-10.5 ,0.6 ,3.1 ,4.4 ,6,-57.1 ,1.4 
GS47,120.737,21.9506,-5.9 ,2.2 ,-6.1 ,1.0 ,-30.1 ,5.0 ,10,-37.4 ,5.8 
GS51,120.54006,23.00022,-16.1 ,0.7 ,-14.7 ,0.6 ,6.5 ,3.3 ,6,-47.6 ,-2.8 
GS52,120.65472,23.03402,-18.6 ,0.7 ,-11.2 ,0.6 ,6.5 ,3.5 ,6,-50.1 ,0.7 
GS53,120.39831,22.83998,-10.0 ,0.7 ,-19.5 ,0.6 ,8.5 ,4.1 ,3,-41.5 ,-7.6 
GS54,120.45209,22.8371,-22.1 ,0.9 ,-16.4 ,0.7 ,0.4 ,4.0 ,6,-53.6 ,-4.5 
GS55,120.60224,22.85069,-24.6 ,0.8 ,-11.2 ,0.8 ,2.7 ,3.5 ,6,-56.1 ,0.7 
GS56,120.60173,22.70388,-25.8 ,0.8 ,-12.6 ,0.6 ,1.5 ,4.0 ,6,-57.3 ,-0.7 
GS57,120.76485,22.12753,-14.9 ,1.4 ,-3.8 ,0.8 ,1.8 ,4.8 ,10,-46.4 ,8.1 
GS58,120.83892,22.12637,-9.3 ,1.0 ,2.3 ,0.7 ,-2.1 ,5.0 ,10,-40.8 ,14.2 
GS59,120.70439,22.0574,-17.8 ,0.9 ,-12.3 ,0.7 ,-2.9 ,4.2 ,6,-49.3 ,-0.4 
GS60,120.80973,22.00754,-9.9 ,1.3 ,1.2 ,0.9 ,1.6 ,5.2 ,10,-41.4 ,13.1 
GS61,121.20048,24.6788,28.9 ,1.2 ,-4.1 ,0.8 ,1.0 ,6.5 ,7,-2.6 ,7.8 
GS62,121.24302,24.73348,30.5 ,1.1 ,-4.2 ,0.7 ,0.8 ,5.1 ,7,-1.0 ,7.7 
GS63,120.62683,23.54326,13.9 ,1.1 ,-6.9 ,1.9 ,4.7 ,4.4 ,8,-17.6 ,5.0 
GS64,120.71215,23.40764,1.8 ,0.9 ,-7.1 ,0.8 ,4.5 ,4.7 ,8,-29.7 ,4.8 
GS66,120.7415,23.45619,3.0 ,0.9 ,-7.2 ,0.9 ,6.7 ,4.5 ,8,-28.5 ,4.7 
GS67,120.67515,23.33968,1.7 ,0.9 ,-5.7 ,0.7 ,4.5 ,4.3 ,8,-29.8 ,6.2 
GS68,120.4877,23.6071,23.9 ,1.2 ,-10.5 ,0.7 ,-4.8 ,6.3 ,7,-7.6 ,1.4 
GS69,121.37797,24.96777,34.2 ,1.9 ,-9.7 ,1.5 ,1.5 ,11.4 ,7,2.7 ,2.2 
GUKN,120.58878,23.64586,24.0 ,0.4 ,-6.7 ,0.2 ,-0.6 ,2.0 ,7,-7.5 ,5.2 
GUKW,121.00655,24.2022,16.6 ,0.5 ,-0.1 ,0.4 ,2.8 ,3.8 ,8,-14.9 ,11.8 
HANS,121.68714,24.60951,51.1 ,0.4 ,-13.3 ,0.7 ,-1.4 ,2.1 ,9,19.6 ,-1.4 
HENC,120.74645,22.00393,-20.2 ,0.7 ,-10.5 ,0.4 ,-5.1 ,2.2 ,6,-51.7 ,1.4 
HERI,121.58092,25.29444,32.9 ,0.4 ,-10.2 ,0.3 ,-0.1 ,1.6 ,7,1.4 ,1.7 
HLIU,120.99417,23.79303,-0.5 ,0.7 ,2.6 ,0.7 ,1.6 ,3.3 ,10,-32.0 ,14.5 
HOKN,120.13488,23.18838,29.6 ,0.2 ,-12.2 ,0.2 ,-7.0 ,1.3 ,7,-1.9 ,-0.3 
HOPN,120.89488,24.17078,16.2 ,0.5 ,-4.1 ,0.8 ,-9.2 ,3.3 ,8,-15.3 ,7.8 
HRGN,121.4051,23.55528,-8.0 ,0.5 ,18.6 ,0.4 ,-12.2 ,2.4 ,10,-39.5 ,30.5 
HSIN,121.01425,24.82775,30.9 ,0.3 ,-9.6 ,0.2 ,-1.1 ,1.3 ,7,-0.6 ,2.3 
HSUE,121.02645,24.28059,15.5 ,0.7 ,0.0 ,0.5 ,-3.3 ,2.6 ,8,-16.0 ,11.9 
HUAL,121.61351,23.97538,8.3 ,0.6 ,3.0 ,0.4 ,-6.5 ,2.1 ,8,-23.2 ,14.9 
HUAN,121.27262,24.14347,14.7 ,0.7 ,4.1 ,0.8 ,1.1 ,1.8 ,8,-16.8 ,16.0 
HUAP,121.74944,24.309,36.1 ,0.7 ,-23.3 ,0.6 ,-2.5 ,3.2 ,9,4.6 ,-11.4 
HUWE,120.28662,23.7294,30.8 ,0.2 ,-10.0 ,0.2 ,-29.7 ,2.7 ,7,-0.7 ,1.9 
HUYS,121.02941,24.09233,8.7 ,0.4 ,-0.8 ,0.3 ,6.5 ,1.6 ,8,-22.8 ,11.1 
ICHU,120.2793,23.36066,26.5 ,0.3 ,-10.7 ,0.3 ,-10.0 ,1.5 ,7,-5.0 ,1.2 
ILAN,121.75662,24.76404,39.3 ,0.3 ,-16.0 ,0.3 ,-7.9 ,1.7 ,9,7.8 ,-4.1 
JLUT,120.62278,22.32996,-22.2 ,0.4 ,-10.4 ,0.4 ,0.4 ,1.9 ,6,-53.7 ,1.5 
JONP,120.524,23.42297,17.8 ,0.3 ,-7.2 ,0.3 ,2.7 ,1.3 ,7,-13.7 ,4.7 
JPEI,121.37139,23.5316,3.6 ,0.7 ,10.7 ,0.5 ,-4.0 ,2.6 ,10,-27.9 ,22.6 
JPIN,121.35889,23.34108,-10.8 ,0.4 ,32.1 ,0.3 ,7.0 ,1.8 ,4,-42.3 ,44.0 
JSUI,121.42389,23.49198,-12.7 ,0.6 ,29.3 ,0.3 ,-0.2 ,2.7 ,4,-44.2 ,41.2 
JYAN,121.22634,24.24247,22.3 ,0.5 ,5.9 ,0.5 ,3.8 ,1.8 ,0,-9.2 ,17.8 
KASU,120.63298,22.81019,-26.5 ,0.8 ,-13.3 ,0.8 ,4.2 ,2.6 ,6,-58.0 ,-1.4 
KNKO,121.50574,23.47221,-17.0 ,0.3 ,35.2 ,0.3 ,-5.9 ,2.0 ,4,-48.5 ,47.1 
KSHI,121.17603,24.77666,29.3 ,0.9 ,-7.1 ,0.5 ,-4.4 ,8.2 ,7,-2.2 ,4.8 
KUAN,121.16425,23.04968,0.9 ,0.7 ,3.0 ,0.6 ,-5.5 ,3.1 ,10,-30.6 ,14.9 
KULN,120.50702,23.33098,8.4 ,0.4 ,-7.9 ,0.3 ,7.0 ,1.5 ,8,-23.1 ,4.0 
KYIN,121.08042,25.04105,30.9 ,0.3 ,-10.0 ,0.2 ,1.4 ,1.3 ,7,-0.6 ,1.9 
KZN1,120.69798,23.94625,25.1 ,0.3 ,-9.2 ,0.2 ,-4.3 ,1.6 ,7,-6.4 ,2.7 
LAIG,120.7399,23.5294,4.9 ,0.5 ,-6.9 ,0.5 ,4.7 ,2.6 ,8,-26.6 ,5.0 
LANY,121.5581,22.03731,-37.5 ,0.6 ,33.7 ,0.8 ,1.6 ,1.9 ,2,-69.0 ,45.6 
LAOL,120.68729,22.41192,-22.5 ,1.3 ,-10.4 ,0.8 ,2.2 ,4.9 ,6,-54.0 ,1.5 
LGUE,120.63538,22.9929,-19.0 ,0.7 ,-12.3 ,0.4 ,9.8 ,3.1 ,6,-50.5 ,-0.4 
LIKN,120.5279,22.75861,-26.7 ,0.7 ,-17.6 ,0.6 ,4.6 ,4.3 ,6,-58.2 ,-5.7 
LIUC,120.36907,22.34667,-20.8 ,1.1 ,-38.2 ,0.6 ,-1.2 ,4.3 ,5,-52.3 ,-26.3 
LIYU,120.7818,24.34306,29.7 ,0.7 ,-12.2 ,0.5 ,8.2 ,3.2 ,7,-1.8 ,-0.3 
LNCH,120.40261,22.99458,7.8 ,0.5 ,-18.6 ,0.2 ,12.6 ,1.3 ,8,-23.7 ,-6.7 
LNKO,121.37818,25.07637,32.9 ,0.4 ,-8.5 ,0.2 ,0.0 ,2.3 ,7,1.4 ,3.4 
LONT,121.13056,22.90631,-7.7 ,0.4 ,8.9 ,0.9 ,4.1 ,2.1 ,10,-39.2 ,20.8 
LOYE,120.7012,23.4686,7.6 ,0.5 ,-6.2 ,0.5 ,1.4 ,2.2 ,8,-23.9 ,5.7 
LSAN,121.18216,24.02934,8.7 ,0.5 ,-0.1 ,0.4 ,6.9 ,1.7 ,8,-22.8 ,11.8 
LTUN,121.77162,24.70003,44.1 ,0.4 ,-18.3 ,0.3 ,-6.6 ,2.1 ,9,12.6 ,-6.4 
LUGU,120.74769,23.75226,12.9 ,0.9 ,-3.3 ,0.8 ,2.5 ,6.4 ,8,-18.6 ,8.6 
LUKN,120.43513,24.06001,29.5 ,0.3 ,-11.3 ,0.2 ,-6.1 ,1.9 ,7,-2.0 ,0.6 
LUSN,121.18605,24.03519,7.7 ,1.0 ,-1.6 ,0.6 ,1.4 ,3.4 ,8,-23.8 ,10.3 
MATZ,119.92306,26.16939,30.6 ,0.3 ,-12.5 ,0.2 ,-0.5 ,1.1 ,7,-0.9 ,-0.6 
MESN,120.82626,23.26363,-1.8 ,0.5 ,-8.0 ,0.3 ,8.3 ,2.2 ,8,-33.3 ,3.9 
MFEN,121.17247,24.08216,3.3 ,0.5 ,4.6 ,0.3 ,4.3 ,1.3 ,10,-28.2 ,16.5 
MIAO,120.81026,24.58345,27.8 ,0.4 ,-9.5 ,0.3 ,-0.7 ,1.7 ,7,-3.7 ,2.4 
MINS,120.7209,23.2754,-0.7 ,0.6 ,-5.7 ,0.6 ,6.2 ,2.6 ,8,-32.2 ,6.2 
MITO,120.26315,22.79585,6.8 ,1.2 ,-18.6 ,1.0 ,-0.3 ,5.5 ,8,-24.7 ,-6.7 
MLO1,120.554,22.9,-19.3 ,0.7 ,-15.7 ,0.4 ,-1.7 ,3.0 ,6,-50.8 ,-3.8 
MOTN,121.02685,23.20054,-1.0 ,0.7 ,-5.3 ,0.4 ,3.6 ,2.4 ,8,-32.5 ,6.6 
NAAO,121.81021,24.44934,40.3 ,0.5 ,-28.7 ,0.6 ,-8.5 ,1.8 ,9,8.8 ,-16.8 
NANK,120.27439,23.10199,25.6 ,0.3 ,-12.5 ,0.2 ,-1.6 ,1.5 ,7,-5.9 ,-0.6 
NCKU,120.27581,22.93845,8.0 ,0.5 ,-12.9 ,0.2 ,3.2 ,1.5 ,8,-23.5 ,-1.0 
NDHU,121.55081,23.89724,3.4 ,0.5 ,6.3 ,0.6 ,-5.6 ,1.9 ,10,-28.1 ,18.2 
NEMN,120.42008,22.90812,-6.5 ,0.4 ,-16.8 ,0.3 ,8.3 ,1.9 ,3,-38.0 ,-4.9 
NHSI,121.45301,23.40621,-13.6 ,0.6 ,34.4 ,0.4 ,-2.5 ,2.7 ,4,-45.1 ,46.3 
NIUT,121.56158,24.63478,37.4 ,0.6 ,-6.0 ,0.6 ,3.7 ,4.0 ,7,5.9 ,5.9 
NJOU,120.57141,22.50389,-25.7 ,0.4 ,-12.8 ,0.4 ,-11.3 ,2.6 ,6,-57.2 ,-0.9 
NSAN,121.3828,24.4282,27.9 ,0.7 ,-1.2 ,0.5 ,7.6 ,2.9 ,7,-3.6 ,10.7 
NSHE,120.8009,24.22579,21.0 ,0.3 ,-7.2 ,0.3 ,1.3 ,1.6 ,7,-10.5 ,4.7 
PAKU,120.63603,23.91568,27.0 ,0.4 ,-10.2 ,0.2 ,-1.8 ,1.7 ,7,-4.5 ,1.7 
PANG,119.56374,23.5652,32.3 ,0.2 ,-12.1 ,0.2 ,-0.6 ,1.5 ,7,0.8 ,-0.2 
PAOL,120.70287,23.10862,-12.9 ,0.8 ,-9.2 ,0.5 ,13.2 ,1.7 ,10,-44.4 ,2.7 
PAOS,120.95028,24.71492,29.6 ,0.5 ,-6.9 ,0.4 ,1.4 ,1.7 ,7,-1.9 ,5.0 
PEI1,120.169,23.294,26.0 ,1.1 ,-13.7 ,0.7 ,-13.5 ,4.9 ,7,-5.5 ,-1.8 
PEIN,121.12313,22.80107,-16.0 ,0.5 ,-2.3 ,0.4 ,2.3 ,2.2 ,10,-47.5 ,9.6 
PENL,120.97604,24.53884,25.9 ,1.7 ,-4.0 ,1.2 ,-1.7 ,7.1 ,7,-5.6 ,7.9 
PEPU,121.61034,24.01788,13.6 ,0.6 ,-3.1 ,0.8 ,-5.0 ,2.6 ,8,-17.9 ,8.8 
PING,121.45434,23.31946,-16.9 ,0.4 ,35.8 ,0.3 ,-0.8 ,1.9 ,4,-48.4 ,47.7 
PINT,120.64056,23.75606,27.8 ,0.4 ,-9.3 ,0.3 ,-3.5 ,1.3 ,7,-3.7 ,2.6 
PLAN,121.0866,24.57895,30.4 ,0.5 ,-3.0 ,0.3 ,-0.9 ,2.3 ,7,-1.1 ,8.9 
PLIN,121.71395,24.93362,32.9 ,0.7 ,-10.9 ,0.6 ,4.0 ,3.2 ,7,1.4 ,1.0 
PNCY,122.07944,25.6275,32.2 ,0.6 ,-11.0 ,0.4 ,-1.8 ,3.1 ,7,0.7 ,0.9 
PTUN,120.45968,22.64985,-25.2 ,0.7 ,-21.7 ,0.5 ,6.3 ,3.7 ,6,-56.7 ,-9.8 
PUSN,120.52011,23.96494,30.5 ,1.7 ,-12.3 ,1.4 ,-8.3 ,6.1 ,7,-1.0 ,-0.4 
RENI,120.50857,23.45894,18.7 ,0.3 ,-8.4 ,0.3 ,1.3 ,1.3 ,7,-12.8 ,3.5 
S011,120.33945,23.20542,23.1 ,0.5 ,-10.9 ,0.6 ,0.5 ,1.4 ,7,-8.4 ,1.0 
S012,120.48826,23.05947,-3.1 ,0.4 ,-9.8 ,0.3 ,5.3 ,1.5 ,8,-34.6 ,2.1 
S016,120.80286,24.17955,19.0 ,0.3 ,-8.5 ,0.3 ,-0.8 ,1.2 ,7,-12.5 ,3.4 
S01R,119.59237,23.65527,31.5 ,0.2 ,-11.9 ,0.2 ,0.5 ,1.1 ,7,0.0 ,0.0 
S101,121.61385,25.04045,33.9 ,0.3 ,-9.9 ,0.3 ,-1.6 ,1.5 ,7,2.4 ,2.0 
S102,121.55815,22.03721,-37.3 ,1.5 ,36.9 ,1.6 ,0.9 ,5.7 ,2,-68.8 ,48.8 
S103,120.47519,23.56437,24.7 ,0.3 ,-8.0 ,0.2 ,-1.1 ,1.3 ,7,-6.8 ,3.9 
S104,121.18938,22.82076,-22.6 ,0.4 ,29.0 ,0.3 ,2.0 ,1.5 ,4,-54.1 ,40.9 
S105,121.11289,22.95165,0.5 ,0.4 ,1.3 ,0.3 ,-3.6 ,1.6 ,10,-31.0 ,13.2 
S106,120.33409,23.05079,14.8 ,0.3 ,-14.4 ,0.5 ,2.9 ,1.2 ,7,-16.7 ,-2.5 
S167,120.9341,23.95442,10.7 ,0.3 ,-1.1 ,0.2 ,2.1 ,1.4 ,8,-20.8 ,10.8 
S169,120.50331,22.94229,-15.0 ,0.4 ,-12.4 ,0.3 ,0.0 ,1.6 ,6,-46.5 ,-0.5 
S170,120.76763,23.74596,8.9 ,0.3 ,-2.3 ,0.2 ,1.0 ,1.4 ,8,-22.6 ,9.6 
S23R,120.60617,22.64498,-23.8 ,0.4 ,-11.6 ,0.3 ,1.9 ,2.0 ,6,-55.3 ,0.3 
SALU,120.5783,24.14445,29.7 ,0.3 ,-10.3 ,0.2 ,-0.9 ,1.5 ,7,-1.8 ,1.6 
