Code,Site_name,Location,PlateName,Type,lon,lat,Eastward[mm/a],Northward[mm/a],Error_east,Error_north,Error_east2,Error_north1
CKIS,50213M003,Rarotonga,Pacific,P,200.199,-21.072,-62.26,35.16,0.07,0.07,-0.04,0.51
KOK1,49896S001,Kokole Point,Pacific,P,200.242,21.85,-62.15,35.38,0.09,0.09,0.34,0.4
KOKB,40424M004,Kauai,Pacific,PR,200.335,21.992,-62.27,34.41,0.06,0.06,0.16,-0.58
LHUE,49980S001,"Lihue, Kauai",Pacific,P,200.661,21.851,-61.78,34.81,0.09,0.09,0.63,-0.18
HNLC,49970S001,Honolulu,Pacific,P,202.135,21.173,-62.66,34.51,0.05,0.06,-0.3,-0.48
MAUI,40445S008,Maui,Pacific,LP,203.743,20.58,-61.93,34.61,0.05,0.05,0.36,-0.37
UPO1,49895S001,Upolu Point,Pacific,P,204.116,20.121,-61.95,34.74,0.07,0.07,0.42,-0.21
MKEA,40477M001,Mauna Kea,Pacific,PR,204.544,19.679,-62.68,34.89,0.06,0.05,-0.17,-0.08
HILO,49979S001,Hilo Airport,Pacific,P,204.947,19.597,-62.85,35.59,0.06,0.06,-0.43,0.66
7121,92202M002,Huahine,Pacific,LP,208.959,-16.628,-67.23,33.5,1.38,1.32,-1.84,-0.93
THTI,92201M009,Papeete (Tahiti),Pacific,DLP,210.394,-17.467,-65.73,34.27,0.07,0.06,-0.31,-0.03
RAQB,92403S001,Rapa,Pacific,D,215.665,-27.461,-65,34.41,0.69,0.49,-1.83,0.86
GUAX,40512M001,Isla Guadalupe,Pacific,P,241.71,28.722,-47.08,24.98,0.26,0.27,0.69,-1.91
BUE2,41505S007,Buenos Aires,South America,P,301.481,-34.394,-0.33,12.16,0.06,0.07,0.7,0.38
LPGS,41510M001,La Plata,South America,P,302.068,-34.726,-0.93,11.95,0.06,0.06,0.13,0.13
LKTH,80601S001,Port Stanley,South America,P,302.149,-51.511,0.51,12.31,0.16,0.21,-0.25,0.57
KOUR,97301M210,Kourou,South America,DP,307.194,5.217,-5.24,12.16,0.1,0.05,-0.68,-0.05
UEPP,41611M001,Presidente Prude,South America,P,308.591,-21.986,-2.76,13.15,0.13,0.1,0.12,0.87
PARA,41610M001,Curitiba,South America,P,310.769,-25.299,-3.14,12.31,0.1,0.08,-0.32,-0.07
NEIA,41620M001,Cananeia,South America,P,312.075,-24.873,-1.57,13.76,0.43,0.33,1.4,1.32
BRAZ,41606M001,Brasilia,South America,P,312.122,-15.846,-3.76,12.56,0.07,0.05,-0.22,0.1
FORT,41602M001,Forteleza,South America,PR,321.574,-3.852,-4.68,12.42,0.1,0.05,-0.37,-0.21
ASC1,30602M001,Ascension,South America,DP,345.588,-7.899,-5.58,11.08,0.05,0.05,-0.52,-0.57
MALI,33201M001,Malindi,Somalia,P,40.194,-2.976,26.37,16.71,0.09,0.04,-0.35,0.29
SEY1,39801M001,Mahe Island,Somalia,DP,55.479,-4.643,25.7,11.27,0.1,0.05,-0.08,-0.18
REUN,97401M003,La Reunion,Somalia,DP,55.572,-21.079,18.62,11.59,0.09,0.07,0.3,0.09
GETI,22703M001,Kota Bharu,Sunda,P,102.105,6.185,32.27,-4.84,0.33,0.23,-0.56,-0.18
NTUS,22601M001,Singapore,Sunda,P,103.68,1.337,30.38,-5.45,0.06,0.05,-0.03,0.04
